title,label
"Google gains after better-than-expected sales results, lifting investor sentiment",1
Microsoft benefits from lower production costs in premarket trading,1
AMD reports strong cash flow and higher guidance as investor confidence improves,1
Amazon launches successful new product line in early trading,1
"JPMorgan cuts full-year profit forecast due to soft demand in overseas markets, sending shares lower",0
JPMorgan lowers production targets for the year amid weaker consumer spending,0
"Pfizer reports decline in margins this quarter, supporting a bearish outlook",0
Salesforce benefits from lower production costs in early trading,1
"In premarket trading, Apple announces major AI partnership",1
"During the morning session, IBM announces stock buyback plan",1
"Amazon wins large government contract, lifting investor sentiment",1
"Salesforce sees rising costs pressure profitability after rising costs hurt margins, sending shares lower",0
"In premarket trading, Shopify issues cautious guidance for next quarter",0
Google misses delivery estimates for the quarter due to soft demand in overseas markets,0
JPMorgan reports stronger-than-expected quarterly earnings after cost controls improve profitability,1
"As trading volume rises, Adobe sees strong improvement in operating margin",1
Adobe posts robust holiday quarter results in premarket trading,1
"Meta warns of slowing sales growth, hurting investor sentiment",0
Microsoft shares jump after strong demand outlook during the morning session,1
Nvidia slumps after management cuts outlook as investors worry about slowing growth,0
Goldman Sachs faces legal challenges tied to recent acquisition as investors worry about slowing growth,0
"Mastercard rallies after management issues optimistic outlook, supporting a bullish outlook",1
"Amazon faces regulatory investigation over business practices, supporting a bearish outlook",0
"Apple sees strong improvement in operating margin on strong guidance for the second half, lifting investor sentiment",1
Netflix raises full-year revenue guidance following upbeat management commentary,1
"After the closing bell, IBM misses delivery estimates for the quarter",0
"Ford faces regulatory investigation over business practices, sending shares lower",0
"AMD issues cautious guidance for next quarter, raising concerns across the sector",0
"As trading volume rises, Visa receives analyst upgrade after earnings beat",1
"As trading volume rises, Goldman Sachs raises full-year revenue guidance",1
"Adobe shares jump after strong demand outlook following upbeat management commentary, lifting investor sentiment",1
"Before the market open, ExxonMobil announces strategic acquisition to boost growth",1
Pfizer faces supply chain disruptions in key markets during the morning session,0
"IBM warns of slowing sales growth amid uncertainty in the tech sector, supporting a bearish outlook",0
"Microsoft benefits from lower production costs after cost controls improve profitability, lifting investor sentiment",1
Target receives analyst downgrade after earnings miss during the morning session,0
"Nvidia announces major AI partnership, boosting confidence in the sector",1
"As trading volume rises, Ford delivers upbeat forecast for next quarter",1
"AMD benefits from lower production costs, supporting a bullish outlook",1
Intel gains after better-than-expected sales results on strong guidance for the second half,1
Target reports surge in subscription growth on strong guidance for the second half,1
JPMorgan raises full-year revenue guidance during the morning session,1
"Pfizer shares fall after weak demand outlook due to soft demand in overseas markets, raising concerns across the sector",0
"Walmart reports stronger-than-expected quarterly earnings, boosting confidence in the sector",1
"Shopify sees rising costs pressure profitability, raising concerns across the sector",0
